filename,product_name,description
22Buttafly_2_2ead28b4-c784-4942-ba3a-7bd947750ed2.jpg,OPI Nail Lacquer,NLS022 Buttafly - 0.5oz by OPI sold by DTK Nail Supply
E74-uv-gel-kit-pictures_48e5dbdf-0bed-40ae-b91e-e1ec9fc32eb6.jpg,OPI Nail Lacquer,E74 You're Such a BudaPest - 0.5oz by OPI sold by DTK Nail Supply
H48-dark-opi-gel-colors-pictures_586395a3-eecb-4740-9e95-ae5d1be90d7c.jpg,OPI Nail Lacquer,H48 Lucky Lucky Lavender - 0.5oz by OPI sold by DTK Nail Supply
W56-best-gel-nail-polish-pictures_8ca58f9e-86f0-4e21-8520-7278daafa662.jpg,OPI Nail Lacquer,W56 Never a Dulles Moment - 0.5oz by OPI sold by DTK Nail Supply
N84StrawberryWavesForever_9fd8404f-1d15-436d-ad25-80d1ffe3e75c.jpg,OPI Nail Lacquer,N84 Strawberry Waves Forever - 0.5oz by OPI sold by DTK Nail Supply
SupernovaPearl15ml_NLF013.jpg,OPI Nail Lacquer,F013 Supernova Pearl - 0.5oz by OPI
SupernovaPearl-topaz-enhance-4x_121d5ab4-2e05-4292-95ef-1f1f49e16f10.jpg,OPI Nail Lacquer,F013 Supernova Pearl - 0.5oz by OPI
CyberCherryOnTop15ml_NLF014.jpg,OPI Nail Lacquer,F014 Cyber Cherry On Top - 0.5oz by OPI
CyberCherryonTop-topaz-enhance-4x_6b2bf353-0425-4e23-a652-379537e69001.jpg,OPI Nail Lacquer,F014 Cyber Cherry On Top - 0.5oz by OPI
CDRom-antic15ml_NLF015.jpg,OPI Nail Lacquer,F015 CD Rom-antic - 0.5oz by OPI
CDRom-antic-topaz-enhance-4x_1309d87a-2709-43db-8f72-6232dce1c1c3.jpg,OPI Nail Lacquer,F015 CD Rom-antic - 0.5oz by OPI
CybornAgain15ml_NLF016.jpg,OPI Nail Lacquer,F016 Cyborn Again - 0.5oz by OPI
CybornAgain-topaz-enhance-4x_e0d72465-6bd0-4763-bcea-5c47048af1d3.jpg,OPI Nail Lacquer,F016 Cyborn Again - 0.5oz by OPI
You_veGotNail15ml_NLF017.jpg,OPI Nail Lacquer,F017 You've Got Nail - 0.5oz by OPI
You_veGotNail-topaz-enhance-4x_da4040fa-2fa1-4f06-8e18-63a726a1bcd5.jpg,OPI Nail Lacquer,F017 You've Got Nail - 0.5oz by OPI
Y2Slay15ml_NLF018.jpg,OPI Nail Lacquer,F018 Y2Slay - 0.5oz by OPI
